row_id,split,label,basis,text
row-5xz3-kmsk-4qjz,ambiguous,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,"remove and properly dispose peeling and flaking paint at exterior to prevent a lead hazard and apply a new weather proofing paint. see attached lead hazard warning. (703 & 1301 sfhc) the left and right sides of this building that is visible from the street elevation, the paint around the wood siding"
row-hcdk~rbap.8jnq,ambiguous,interior_surfaces,hand label,"repair damaged ceilings (1001b,h,o hc) repair damaged portions of ceiling in room 13. at time of inspection, there were areas of missing/peeling paint, and cracking seems at ceiling. replace duct vent cover at ceiing."
row-ksvb~safu-9x8z,ambiguous,electrical,hand label,"provide plumbing and electrical permits for the laundry machines (301 hc, 103 pc, 89.120 ec)."
row-84uj.zmyb_9yaq,ambiguous,fire_safety,hand label,"provide automatic fire sprinklers over garbage receptacles 904, 906.4, 1001i sfhc any trash receptacle stored inside must be in a sprinkled area. provide sprinklers to the trash area. *** this item requires plumbing permits or move the trash to an area open to blue sky. egress corridors and under wo"
row-34i4-xuf6-kiy5,ambiguous,mold,hand label,"eliminate mold/mildew on walls (1301,1001b(13),1306 hc) eliminate the mold and mildew currently existing at the following locations: areas should be cleaned, sanitized and repainted with a mold resistant paint. a) rear exterior left corner walls at window facing backyard b) bedroom #2 walls at exter"
row-w9qt-airm~urdc,ambiguous,none,hand label,see dbi notice of violation see dbi notice of violation
row-be7i.z6du.u7ir,ambiguous,floors_stairs,hand label,"provide handrails (802(c),1001(b)(13)hc) provide handrails to the rear exterior stairway. a building permit is required for this work."
row-yz66_6tgc~5tsw,ambiguous,plumbing,hand label,"provide plumbing permit for water heaters (1001(b)(7),(8),&(g)hc) 3 newer water heaters observed in garage. no evidence of recent plumbing permits issued. note: plumbing permit required, make sure that all permits have been signed off prior to contacting housing inspector for final inspection (103.1"
row-u47f~y7vz_hzks,ambiguous,weather_windows,hand label,"repair all windows glazing seals, sash cords, sash frames and latches or hardware (1001(h), (j), & 708 hc) throughout builiding there are windows in different states of disrepair. ensure that all windows in building are repaired in an approved manner and functioning correctly. all windows must open"
row-vpag_gic9.iys7,ambiguous,none,hand label,"inspector comments important note: it is the owner's responsibility to attend the reinspection scheduled below (or to send a representative), present the finalized permits/job cards, and provide access to the areas cited. if this is not possible, it is the owner's responsibility to obtain another in"
row-mdu3~ui8c.e3zr,ambiguous,none,hand label,inspector comments (nuisance (401(2) (1001(d) hc) this property has been deemed a nuisance.
row-j4sr.hxb6.atz2,ambiguous,sanitation,hand label,"clean and sanitize the common areas 1306 sfhc the common areas of the building are marked and dirty. wipe down all horizontal surfaces of accumulation. remove the black marks and filth along the stairs on wall surfaces, picture rails, base boards, door jambs and casings, window sills and sashes, sur"
row-4rs2_wy2w-tz8t,ambiguous,heat_hot_water,hand label,provide heat to each occupied habitable room for 11 hours between the hours of 6:00 a.m. and 12:00 midnight capable of maintaining a minimum room temperature of 70f. (701 hc) provide the required heat for the rear bedroom of #3825.
row-k6it-23xx~hvxf,ambiguous,none,hand label,inspectors comment there were no violations observed at the time of inspection. submit the completed affidavits and maintenance cert by the reinspection date; there will be no onsite reinspection. contact the inspector if you're unable to complete by the reinspection date. affidavits and documentati
row-3229.wmd8.e7rc,ambiguous,interior_surfaces,hand label,"repair damaged walls & ceilings (1001b,h hc) repair the water damaged walls and ceiling in the living room of the upstairs unit. a building permit is needed for this work."
row-dzr6-ndki-jsrq,ambiguous,lead_paint,hand label,"restrict access 1001d, k sfhc , 327.4.1 sfebc establish a regulated work area that restricts access to only those qualified to handle or disturb lead paint. containment must be established in a way that allows safe passage in and out of the building for building occupants without exposing them to le"
row-njfz~vdhz-at8k,ambiguous,peeling_paint,hand label,"repair weather proofing on siding (1001(h),703 hc) there was peeling paint noted throughout the exterior of the building. remove damaged paint and apply new weatherproofing as required. remove or cover damaged paint in an approved manner to prevent a lead hazard."
row-w6tj.58ef.i9ab,ambiguous,weather_windows,hand label,"repair/replace all window hardware, glazing seals, sash cords, sash frames and latches or cranks/operator handles (708 & 1001(h),(j) hc) windows in unit are in different states of disrepair. ensure that all windows in unit are in proper working order. all windows must open, remain open, and close se"
row-yie7~2ht2-tqd5,ambiguous,interior_surfaces,hand label,"repair damaged ceilings (1001b,h,o hc) secure, patch, plaster and paint unfinished sheetrock ceiling at family room area. you are required within 15 days to file a building permit application and commence repairs. you are required to complete the work within 30 days. signed permits must be presented"
row-j4tb.ixr4-nv73,ambiguous,ventilation_light,hand label,provide adequate lighting (504g hc) repair exterior lights on hampshire and 24th street side of building.
row-4izp~mfdm-cy6z,ambiguous,peeling_paint,hand label,"follow san francisco lead ordinance regulations ********important******* all peeling paint and substrates are assumed to have lead content. all paint chips and dust must be contained and removed per the san francisco existing building code. because removal of lead chips and dust is a specialty, the "
row-4vpr-b4vi~d9tp,ambiguous,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,"damaged paint (1301)sfhc (327)cebc this statement applies to all work areas, exterior and interior, where painted surfaces are affected. remove or cover damaged paint in an approved manner to prevent a lead hazard. see attached lead hazard warning."
row-uu39.s2z9~bh7z,ambiguous,none,hand label,"building permit required (301 hc) at the time of re-inspecting for nov # 201985721, at the rear exterior, a 1 story new deck was being constructed without the benifit of a permit. new deck was approx 25' wide, streching from property line to property line, approx. 5' in depth and approx. 10' off the"
row-md7i-xxx5_mhcm,ambiguous,interior_surfaces,hand label,"repair damaged walls (1001b,h,o hc) 1. repair and paint all deteriorated walls and ceilings. 2. obtain building and electrical permits to repair the partitions/ceiling of the bathroom."
row-4k6n~2z7k-zpt2,ambiguous,weather_windows,hand label,"repair the spalling concrete 1001 b13, c4 sfhc the sills and walls below the leaking windows are spalling. the concrete has deteriorated. remove damaged or contaminated materials and replace with new. prep, prime and paint to complete the repair."
row-f69m-rki5_fzvw,ambiguous,interior_surfaces,hand label,"repair damaged ceilings (1001b,h,o hc) at time of inspection, leak damage was observed in the following ceiling areas of unit#305: kitchen, living room, bathroom. repair and repaint in an approved manner. at time of inspection, no active leak was observed. however, there were signs of possible leak"
row-ink2_bdji.kibf,ambiguous,plumbing,hand label,"repair source of water damage (703,1001f hc) once source of water damage/intrusion into unit is located, repair source of water damage in an approved manner to prevent further water damage/intrusion. repair/replace any water damaged building materials (dry wall, plaster, paint, carpet, etc.), ensure"
row-rzuc.nvm6_vxgr,ambiguous,electrical,hand label,"remove gas line (1001(f)hc) relocate gas line from current location next to stove which runs vertically between floors and place it in required location in room #57, current location is not acceptable and must be moved immediately, plumbimg permit is required: *note* permits must be signed off by as"
row-u3hy_rqa3~bn3n,ambiguous,mold,hand label,"eliminate mold/mildew on ceiling (1301,1001b(13),1306 hc) once the source of the leaks is repaired, the ceiling should be repaired. remove all damaged or contaminated material and replace with new. this is a fire rated assembly and requires a one hour fire rating in repair. replace the drywall with"
row-sban~4jbf~8str,ambiguous,weather_windows,hand label,"repair/replace all window hardware, glazing seals, sash cords, sash frames and latches or cranks/operator handles (708 & 1001(h),(j) hc) repair window in second bedroom from front. at time of inspection, sash cord was broken and window not capable of staying open. ensure that all window hardware is"
row-z9mc.z5sa~b32t,ambiguous,none,hand label,"important note: this property is defined as a nuisance per sec. 1001-d of the sfhc. please open for inspection all common areas of the building at time of reinspection. please review the attached ""notice of violation warnings"" for information regarding failure to comply with this notice."
row-796y_yaux_qyz2,ambiguous,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,"damaged paint (1301)sfhc (327)cebc this statement applies to all work areas, exterior and interior, where painted surfaces are affected. remove or cover damaged paint in an approved manner to prevent a lead hazard. see attached lead hazard warning."
row-givd~5wwp~rv77,ambiguous,none,hand label,inspector comments (nuisance (401(2) (1001(d) hc) this property has been deemed a nuisance.
row-2edt~vhe8-jjpn,ambiguous,peeling_paint,hand label,weather proofing on stucco and siding (703)(1001(d)(h)(1301) sfhc there was peeling paint noted at the exterior walls of the building. obtain the services of a lead abatement contractor to remove damaged paint and apply new weather proofing as required. remove or cover damaged paint in an approved m
row-bmc9.4wvr-cvh5,ambiguous,weather_windows,hand label,"repair window sash frame (1001(h),708 hc) repair the damaged windows at the rear wall of the building. individual window sash may be replaced in kind without a building permit. if window assemblies are replaced with new windows a building permit is required."
row-gdu8.x893-yxns,ambiguous,fire_safety,hand label,"remove egress obstruction (801,1001(l) hc) entry gate on ground floor has a double cylinder dead bolt which not permitted. all exit doors must be operable, without a key, from the interior. remove double cylinder lock and install self locking device that is operable from the inside without a key."
row-s37i-ccsu_v6zs,ambiguous,fire_safety,hand label,"licensed architect, structural engineer, contrator, or pest control contractor required to inspect all building attachments (604(a), 1001(b.13)(d) hc) stairs, walkways/decks, fire escapes, &/or other building attachments not mentioned herein: the department of building inspection requires all owners"
row-3ws7~8kdw-w2em,ambiguous,interior_surfaces,hand label,"repair damaged ceiling, walls, & trims (1001(a),(b)(13),(l) hc) a. remove flaking/peeling paint, and repair cracks in plaster, observed at ceiling and walls throughout unit. b. repair loose and damaged door trim at water heater closet. c. replace damaged/ missing panels at wall below kitchen sink. f"
row-igxc.y8ei-vbbb,ambiguous,plumbing,hand label,provide plumbing permit (103.1.1 pc) required for replacing plumbing lines. provide a copy of all finaled permits to the housing inspector at the time of re-inspection.
row-wemv-9tcj_bacv,ambiguous,none,hand label,inspector comments violations cited herein constitute a nuisance pursuant to sections 401 and 1001(d) of the san francisco housing code. it is the property owner¿s responsibility to be present or direct his/her representative to attend the reinspection as scheduled on this notice of violation for th
row-2zyp-na5d~2gdc,ambiguous,none,hand label,"inspector comments you are required to complete work within thirty days. you must call to re-schedule a reinspection if work is not complete by the date noted. note: in order to avoid telephone tag, please do not leave phone messages to set-up reinspections. in order to set-up a reinspection, please"
row-he7m.ti6s-dp7w,ambiguous,interior_surfaces,hand label,"repair damaged walls (1001b,h,o hc) repair, patch, texture, and paint the damaged wall at the rear stairs near room 220."
row-d69c~42cf.xqj5,ambiguous,none,hand label,provide shutoff tool for gas utility shutoff (712 hc) post enclosed gas meter instructional diagram in a public area. (712 hc) located at gas meter of the property.
row-hghc-3ha6.yc8c,ambiguous,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,"remove or cover damaged/peeling paint in an approved manner to prevent a lead hazard. see lead hazard warning (1001k,1001h) on all sides of the building, there is peeling, worn and missing paint.remove or cover all worn and peeling paint to avoid lead hazard. (see lead hazard warning)"
row-rj47~shpm_cag6,holdout,interior_surfaces,hand label,"repair then re-paint water damaged ceiling and walls (1001(b)(13), 1301 hc). note: check for water leaks and repair as necessary. in the bedroom."
row-8hcd.d45b_v9ii,holdout,plumbing,hand label,repair deteriorated drainage pipes at exterior (1001f hc) connect the rain leader at the northwest corner to the existing sewer drain.
row-te7a.q6uy-rgdk,holdout,plumbing,hand label,repair hot water heater (1001(f) hc) provide plumbing permit (103.1.1 pc) water heater in apt a lacks proper seismic strapping; it is only strapped at lower third. no permit on file for installation of wate heater. a plumbing/mechanical permit is required to install or replace water heaters. provide
row-uhfr_5atf-5zqu,holdout,smoke_detectors,alarms are smoke detection,"post certification of current alarm system maintenance by qualified contractor 908, 909, 911 sfhc the central alarm at the front hallway is in distress. fire alarm systems shall be re-certified every year and the date of service and/or expiration date shall be posted on the unit. provide service to"
row-xt4q_r49s~wjv8,holdout,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,lead hazard warning (327.4.2 sfbc)
row-i9tx_pje9.dq8i,holdout,plumbing,hand label,repair sink (1001f hc) repair kitchen sink.
row-xtwq~phvt~i33e,holdout,interior_surfaces,hand label,"repair damaged walls & ceiling (1001(b),(h),(o) hc) bubbling, peeling paint observed from active water leak/ intrusion; repair damaged areas affected by leak in an approved manner; re-paint. location: kitchenette ----------"
row-vi9h.v9ar-k2xb,holdout,smoke_detectors,hand label,"provide carbon monoxide detectors 420 cbc provide smoke detectors 908, 911 sfhc, 907.2.11 sfbc provide carbon monoxide detectors laid out per the san francisco building code section 420. there shall be one unit in each guest room within the immediate floor and each adjacent floor, above and below a"
row-6tm6_vayb_4d3q,holdout,electrical,hand label,provide electrical permit (90.25 ec) required for adding electrical outlets.
row-34xy_4ae4.n7si,holdout,peeling_paint,"lead-regulation narrative implies paint work, not a lead finding","inspector comments note: in addition to the regulation established by the city and county of san francisco, work that disturbs lead based paint is also regulated by the epa, the state of california health department, calosha, and the contractors state license board. please be advised to comply with "
row-6ktt~c88p.7ykg,holdout,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,lead hazard warning
row-g389~4xbn_qbvg,holdout,smoke_detectors,hand label,"provide smoke detector (908,911 hc) the number and location of smoke alarms is specified in section 907.2.11.2 of the california building code. one smoke alarm should be placed on each floor in non-sleeping areas. in addition, one smoke alarm must be installed in each room where sleeping occurs and"
row-9me8.gexa~ifni,holdout,sanitation,hand label,drain the basement of raw sewage and dispose of contaminated items 1306 sfhc the structure at the back of the property has a basement filled with sewage and filth. the basement is also full of personal belongings that have been contaminated by this sewage. remove the personal belongings and repair t
row-qf6f_neyg-mwi3,holdout,floors_stairs,hand label,"repair front entry stairs. 1001(b) sfhc repair the front entry staircase in order to fix the inconistent rises and runs within the set. note: in order to abate this violation a building permit is required. additionally, prior to housing's re-inspection the permit must be finalized."
row-pf5t-5zxt.k9m8,holdout,none,hand label,"inspector comments important note: it is the owner's responsibility to attend the reinspection scheduled below (or to send a representative), provide access to the areas cited, and present all required permits/job cards after they are finalized. if this is not possible, the owner must obtain other i"
row-gqzd-eftc-skzg,holdout,plumbing,hand label,"repair source of water damage (703,1001f hc) once source of water damage/intrusion into unit is located, repair source of water damage to prevent further water damage/intrusion. repair/replace any water damaged building materials (dry wall, plaster, paint, carpet, etc.), ensure the area is dried pro"
row-22e8_fuvk-7644,holdout,floors_stairs,section 604 is structural maintenance,"provide section 604 affidavit (604 sfhc) provide affidavit of structural maintenance for all exterior appendages. have a licensed general contractor, structural pest control licensee, or licensed professional architect or engineer inspect all exterior decks, balconies, landings, exit corridors, stai"
row-buvm_8t8r_jcy2,holdout,none,hand label,inspector comments
row-vyu3~qe2v.gy5g,holdout,floors_stairs,hand label,complete and file enclosed structural maintenance affidavit to housing inspection services division (604 hc)
row-2f23-3jgg~ur6u,holdout,fire_safety,hand label,provide identification signage and security standards 706.11 sfhc the apartment numbers are painted over. every address will display the assigned numbers on or around the front door of the unit in contrasting color to the background so that they are easily visible to emergency service workers. provi
row-3uxq-v6px-ts4n,holdout,mold,hand label,"eliminate mold/mildew on walls (1301,1001b(13),1306 hc) the upstairs bedrooms had mold/mildew around the windows. eliminate mold/mildew using approved methods and materials."
row-f7xu~9j9v.rk3e,holdout,plumbing,hand label,"properly cap the supply lines and drain lines in the bedroom closet (1001(f) hc, 103 pc). note: plumbing permit is required."
row-nrgb~h5r5_masf,holdout,floors_stairs,hand label,"repair stairs (1001(b)(13)hc) the stairs leading to the garage are too steep (riser height is not allowable). the risers are open and the handrail is too low. repair or replace as required. if repairing more than 50% of the structure, submit 2 sets of plans when applying for building permit. **a bui"
row-hzta-6d7w.js5d,holdout,fire_safety,hand label,"maintain fire escape drop ladder in working condition (sec 908 hc) on reinspection day, property manager, owner or the owner's agent needs to demonstrate the workability of the fire escape ladders. or provide a written and signed report from a qualified service company or contractor stating that all"
row-mz9q_gg8s~w3by,holdout,floors_stairs,section 604 is structural maintenance,"provide for compliance affidavit (sfhc 604 ) complete the 604 affidavit provided for self certification for structural maintenance. provide to inspector at the time of reinspection, send to inspector yee at 49 south van ness avenue, san francisco, ca 94103, fax to (628) 652-3709 or email the forms t"
row-5znz-wjt6_cguz,holdout,fire_safety,hand label,"maintain fire escape drop ladder in working condition (sec 908 hc) regular fire escape maintenance required. note: property manager, owner or the owner's agent needs to provide proof of the workability of the fire escape ladders. a non-working fire escape is a life safty hazard and must be corrected"
row-m9hg~d9w9_jyc5,holdout,sanitation,hand label,"remove nuisance (1001(d) hc): sidewalks: clean debris & rubbish as required to prevent possible trip hazards. keep this area clean and free from all accumulation of debris, rubbish, garbage, & all other offensive matter at all times."
row-g7d4.ju7y.p9m7,holdout,fire_safety,hand label,"remove flammable storage (904,1001(i) hc) remove the stored paint from the unsprinkled common areas. flammables can be stored in an area open to the sky or under a sprinkler head in a closed metal cabinet. a plumbing permit is required if adding sprinkling."
row-hnv8_y8zk_qmws,holdout,plumbing,hand label,"repair garbage disposal (1001-f hc) in kitchen, garbage disposal is not properly installed. it is not connected to power and the connection to the air gap is missing and open. obtain plumbing permit and properly connect garbage disposal."
row-5s8p~9sff_bva6,holdout,sanitation,hand label,clean interior (1306 hc) clean up / repair dirty / damaged carpets in living room and hallway.
row-h3q7-dtmz_9e9k,holdout,mold,hand label,"eliminate mold/mildew on walls (1301,1001b(13),1306 hc) in the 3rd level bathroom, there is mold on the wall above the bath tub. have a professional remove the mold and refinish the area with mold resistant paint."
row-zdxk~2uvu.baxu,holdout,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,lead warning.
row-2d5d.dxf4-xdxp,holdout,none,hand label,inspectors comment violations cited are located in unit 4.
row-7n8w~zenv-kew5,holdout,fire_safety,hand label,"repair fire proofing with approved materials (603(c),1001(n) hc) a. ground floor ceiling at laundry area observed missing fire rated finish; code non-compliant foil installed. repair ceiling to restore fire rated separation between garage and habitable spaces of floor above. find and seal all openin"
row-qtdr_688y.j3m4,holdout,heat_hot_water,hand label,"repair non-tamperable temp.-sensing device to which heat is provided, occupied or not. (701(c) hc) repair thermostat for said unit to proper working condition. location: unit #1002 ----------"
row-pcd4~jyge~s6yj,holdout,heat_hot_water,hand label,"provide heat to each occupied habitable room for 13 hrs between 5:00 a.m. and 11:00 a.m. and between 3:00 p.m. and 10:00 p.m. capable to maintaining a min. room temp. of 68 degrees f. (20 degrees c.). (701c hc) ensure that heat is provided to each sleeping room. at time of inspection, vent to north"
row-dtft-8kdi~yt33,holdout,interior_surfaces,hand label,"repair damaged ceilings (1001b,h,o hc) #1222's bedroom. at basement -parking garage."
row-g8iy-2pv8-miav,holdout,none,hand label,"inspector comments important note: due to the nature of this violation, this property has been defined as a nuisance per section 1001-d of the san francisco housing code."
row-nbri_4r63~van6,holdout,mold,hand label,"eliminate mold/mildew on walls and ceiling. 1001(b), 1301, & 1306 sfhc eliminate mold/mildew located on bathroom walls and ceiling."
row-jz2f-z8sv-tyrd,holdout,fire_safety,hand label,"repair apartment house exterior door 706.(a)(1)(i)hc the main entry and rear door were not tight fitting and weather proof at the time of inspection. if entry doors are ill fitting, either replace doors so that they fit correctly, or provide threshold and sweep at entry doors to close gap."
row-ter2~8wjb-5avj,holdout,electrical,hand label,"provide electrical permit (90.25 ec) obtain electrical permit for corrections at circuit breaker box, and obtain final signoff on electrical permit. this case can not be closed until housing inspector is provided with finaled electrical permit."
row-c329_zsvr~62c2,holdout,weather_windows,hand label,"repair weather proofing on siding (1001(h),703 hc) make necessary repairs/replacements to fix loose or missing window trims at front exterior elevation of building."
row-giua_x3rr_3d7m,holdout,fire_safety,hand label,provide self-closing devices at exterior doors. (706 - sfhc) repair or replace front exterior door/gate so that it is self-closing and self-locking.
row-sica.d2xi~3khn,holdout,floors_stairs,section 604 is structural maintenance,"repair stairs and provide 604 affidavit for all exterior appendages 604, 908, 1001b13 sfhc the wood stair to the parking lot has a missing riser. the wood is sun dried and questionable to its stability. repair the stairs and have your contractor complete the 604 affidavit included to certify the sta"
row-tywy-43rn~wsqf,holdout,none,hand label,"inspector comments ***addendum*** this addendum is added on may 13, 2002: inspector is granting an extention to allow owner to comply with this notice of violation. new reinspection: june 12, 2002 at 10:00 am"
row-xst6-b6xq-s5tg,holdout,weather_windows,hand label,"repair window sash frame/glazing (1001(h),708 sfhc) -repair/replace broken/loose window frame in bathroom and kitchen. -repair/replace inoperable window in kitchen. -repair broken window in kitchen."
row-p3y7.9ah2.tpni,holdout,interior_surfaces,hand label,"repair then re-paint damaged ceilings (1001(b)(13), 1301 hc) in the following areas: 1) bedroom. 2) bedroom closet."
row-urfs~jwnw-xzsg,holdout,plumbing,hand label,maintain appliances (505(g) hc) repair/ replace the following kitchen appliances that is no longer functioning properly: - refrigerator - oven and several broken knobs - dishwasher location: kitchen ----------
row-yfi7.33ap_eqz9,holdout,security_locks,hand label,other security violations repair/replace defective rear doors and its locking mechanism.
row-5yx6.p3gj_75zt,holdout,floors_stairs,section 604 is structural maintenance,"provide for compliance affidavit (sec. 604 sfhc) complete the 604 affidavit provided for self-certification for structural maintenance. provide to insp. at time of re-inspection; send to insp. ng at 49 south van ness ave. suite #400, san francisco, ca 94103-1226 or e-mail form to ben.ng@sfgov.org. -"
row-2b9g~9fm8.hyy3,holdout,smoke_detectors,hand label,"provide smoke detector and carbon monoxide affidavit (420.4, 907.2.11 & 3401.6.1 sfbc) provide self-certification affidavit for smoke alarms and carbon monoxide detectors (enclosed)."
row-8huf.46qm-xdgu,holdout,fire_safety,hand label,"remove egress obstruction (801,1001(l) hc) remove boxes blocking window at bedroom."
row-4sw4~fqyb_e55m,holdout,none,hand label,building permit required (301 hc) a building permit is required to correct the violations cited. provide a copy of all completed permits to the housing inspector at the time of reinspection.
row-eb8j-uux9~bsgs,holdout,none,a doorbell is not an interior surface,general dilapidation or improper maintenance (1001 (b)(13)) reapir door bell.
row-ctt6.8nie~9e8w,holdout,floors_stairs,"flooring belongs with floors, not interior surfaces","repair floor covering (1001b,j,o hc) at time of inspection, damaged was observed in several areas in unit#b5. repair or replace floor covering in an approved manner."
row-sj23-rzrq_ciur,holdout,peeling_paint,SF presumes peeling paint contains lead; a bare warning is not a finding,"remove or cover damaged paint in an approved manner to prevent a lead hazard. 1301 sfhc remove or cover damaged and peeling paint, in an approved manner, located on the walls and ceilings at the interior stairway. ***see lead hazard warning***"
row-z4nj_hndr_hv5t,holdout,fire_safety,hand label,"recharge/date tag fire extinguisher type 2a 10bc or equivalent (905,1001(m)hc) recharge all fire extinguishers and provide current date tags."
row-2r7s.287x.tf7p,holdout,security_locks,hand label,other security violations repair loose door lock strike plate at entry door to unit #214 and as required.
row-6gqa.m2uh_sz8j,holdout,electrical,hand label,"repair light (1001e hc) at the laundry folding table, the flourescent light does not come on. make necessary repairs/replacements so that light works."
row-rva2~4wdx~izbw,holdout,floors_stairs,"flooring belongs with floors, not interior surfaces","repair floor covering (1001(a),(b.13),(d),(j) hc) flooring in kitchen & the area outside of bathroom: observed improperly installed vinyl floor tiles where tiles were missing & others were peeling up. remove & replace damaged flooring as required in order to prevent a trip hazard, water infiltration"
row-extr.u3fb-2muq,holdout,electrical,hand label,"building permit required (301 hc) obtain, or provide evidence of, city approved permits for alteration work in units #2 & #3, including remodel of kitchen in front unit, removal of kitchen in rear unit, removal of wall separating units #2 & #3, unfinished demolition of bathroom, and rough plumbing &"
row-yu3n.hia6~q9e3,holdout,plumbing,hand label,"repair source of water damage (703,1001f hc) inspection revealed severe water damage below the kitchen sink. provide written documentation re: source of water damage & all steps taken to ensure the cessation of future leaking. after source of water damage has been repaired, repair all damaged floors"
row-nrbi_j5v9_6jdq,holdout,smoke_detectors,alarms are smoke detection,"maintain central alarm system (908, 909 hc) testing and certification is required. current dated certification must be visible and posted by a licensed professional on the fire alarm control panel."
row-ry4m~5b4q.cy9z,holdout,none,hand label,"inspector comments it is the property owner's responsibilty to be present or direct his/her representative to attend, the reinspection as scheduled on this notice of violation for the purpose of providing entry to the inspector of those areas not accessed during the initial inspection as specified, "
row-tauk_jnrj_famw,holdout,interior_surfaces,hand label,repair damaged cabinets in kitchen. 1001(b) sfhc repair cabinet in kitchen.
