row_id,why_ambiguous,dbi_category,my_label,YOUR_LABEL,text
row-5xz3-kmsk-4qjz,three or more groups match,building section,lead_paint,peeling_paint,"remove and properly dispose peeling and flaking paint at exterior to prevent a lead hazard and apply a new weather proofing paint. see attached lead hazard warning. (703 & 1301 sfhc) the left and right sides of this building that is visible from the street elevation, the paint around the wood siding"
row-hcdk~rbap.8jnq,paint: lead vs peeling,interior surfaces section,peeling_paint,interior_surfaces,"repair damaged ceilings (1001b,h,o hc) repair damaged portions of ceiling in room 13. at time of inspection, there were areas of missing/peeling paint, and cracking seems at ceiling. replace duct vent cover at ceiing."
row-ksvb~safu-9x8z,permit language wrapping a condition,building section,electrical,electrical,"provide plumbing and electrical permits for the laundry machines (301 hc, 103 pc, 89.120 ec)."
row-84uj.zmyb_9yaq,three or more groups match,building section,fire_safety,fire_safety,"provide automatic fire sprinklers over garbage receptacles 904, 906.4, 1001i sfhc any trash receptacle stored inside must be in a sprinkled area. provide sprinklers to the trash area. *** this item requires plumbing permits or move the trash to an area open to blue sky. egress corridors and under wo"
row-34i4-xuf6-kiy5,three or more groups match,interior surfaces section,lead_paint,mold,"eliminate mold/mildew on walls (1301,1001b(13),1306 hc) eliminate the mold and mildew currently existing at the following locations: areas should be cleaned, sanitized and repainted with a mold resistant paint. a) rear exterior left corner walls at window facing backyard b) bedroom #2 walls at exter"
row-w9qt-airm~urdc,no pattern matched,building section,(none),,see dbi notice of violation see dbi notice of violation
row-be7i.z6du.u7ir,permit language wrapping a condition,building section,(none),floor_stairs,"provide handrails (802(c),1001(b)(13)hc) provide handrails to the rear exterior stairway. a building permit is required for this work."
row-yz66_6tgc~5tsw,permit language wrapping a condition,building section,(none),plumbing,"provide plumbing permit for water heaters (1001(b)(7),(8),&(g)hc) 3 newer water heaters observed in garage. no evidence of recent plumbing permits issued. note: plumbing permit required, make sure that all permits have been signed off prior to contacting housing inspector for final inspection (103.1"
row-u47f~y7vz_hzks,permit language wrapping a condition,building section,(none),weather_windows,"repair all windows glazing seals, sash cords, sash frames and latches or hardware (1001(h), (j), & 708 hc) throughout builiding there are windows in different states of disrepair. ensure that all windows in building are repaired in an approved manner and functioning correctly. all windows must open"
row-vpag_gic9.iys7,no pattern matched,other section,(none),,"inspector comments important note: it is the owner's responsibility to attend the reinspection scheduled below (or to send a representative), present the finalized permits/job cards, and provide access to the areas cited. if this is not possible, it is the owner's responsibility to obtain another in"
row-mdu3~ui8c.e3zr,no pattern matched,other section,(none),,inspector comments (nuisance (401(2) (1001(d) hc) this property has been deemed a nuisance.
row-j4sr.hxb6.atz2,three or more groups match,building section,fire_safety,sanitation,"clean and sanitize the common areas 1306 sfhc the common areas of the building are marked and dirty. wipe down all horizontal surfaces of accumulation. remove the black marks and filth along the stairs on wall surfaces, picture rails, base boards, door jambs and casings, window sills and sashes, sur"
row-4rs2_wy2w-tz8t,no pattern matched,other section,(none),heat_hot_water,provide heat to each occupied habitable room for 11 hours between the hours of 6:00 a.m. and 12:00 midnight capable of maintaining a minimum room temperature of 70f. (701 hc) provide the required heat for the rear bedroom of #3825.
row-k6it-23xx~hvxf,no pattern matched,building section,(none),,inspectors comment there were no violations observed at the time of inspection. submit the completed affidavits and maintenance cert by the reinspection date; there will be no onsite reinspection. contact the inspector if you're unable to complete by the reinspection date. affidavits and documentati
row-3229.wmd8.e7rc,permit language wrapping a condition,interior surfaces section,plumbing,interior_surfaces,"repair damaged walls & ceilings (1001b,h hc) repair the water damaged walls and ceiling in the living room of the upstairs unit. a building permit is needed for this work."
row-dzr6-ndki-jsrq,paint: lead vs peeling,building section,(none),lead_paint,"restrict access 1001d, k sfhc , 327.4.1 sfebc establish a regulated work area that restricts access to only those qualified to handle or disturb lead paint. containment must be established in a way that allows safe passage in and out of the building for building occupants without exposing them to le"
row-njfz~vdhz-at8k,three or more groups match,building section,lead_paint,peeling_paint,"repair weather proofing on siding (1001(h),703 hc) there was peeling paint noted throughout the exterior of the building. remove damaged paint and apply new weatherproofing as required. remove or cover damaged paint in an approved manner to prevent a lead hazard."
row-w6tj.58ef.i9ab,three or more groups match,plumbing and electrical section,(none),weather_windows,"repair/replace all window hardware, glazing seals, sash cords, sash frames and latches or cranks/operator handles (708 & 1001(h),(j) hc) windows in unit are in different states of disrepair. ensure that all windows in unit are in proper working order. all windows must open, remain open, and close se"
